Stress,Strain
3097003.81,0.00091908
3165059.048,0.000946386
3224390.476,0.00097236
3264527.619,0.000997002
3323857.143,0.001019646
3381443.81,0.00104229
3426815.238,0.001066932
3469567.619,0.001092906
3507960,0.001118214
3561182.857,0.001143522
3615280,0.001169496
3651923.81,0.001194804
3710382.857,0.001219446
3760990.476,0.00124209
3810723.81,0.001264068
3857838.095,0.00128538
3897975.238,0.001308024
3938982.857,0.001332666
3977373.333,0.001357308
4021872.381,0.001382616
4062007.619,0.00140859
4112613.333,0.001435896
4165838.095,0.001466532
4199866.667,0.001497168
4257451.429,0.00152847
4322891.429,0.001561104
4389201.905,0.001593072
4441554.286,0.001627704
4500011.429,0.001664334
4565451.429,0.001702296
4633506.667,0.00174159
4718140.952,0.00178155
4799285.714,0.001820178
4869087.619,0.001858806
4942379.048,0.001900764
5006944.762,0.001945386
5069767.619,0.001992006
5152655.238,0.002039292
5241653.333,0.002086578
5326287.619,0.002133864
5415283.81,0.002182482
5494683.81,0.0022311
5569720,0.002279718
5660460.952,0.002328336
5732007.619,0.002373624
5796573.333,0.002414916
5860268.571,0.00245421
5913491.429,0.002492172
5958862.857,0.002528136
6009468.571,0.002561436
6049603.81,0.002592072
6084504.762,0.002621376
6095847.619,0.002646684
6115043.81,0.002671326
6129440,0.002695968
6143400,0.00272061
6155179.048,0.002745252
6166521.905,0.00277056
6179173.333,0.002796534
6188335.238,0.002821176
6200114.286,0.002845818
6221053.333,0.00287046
6242866.667,0.002891772
6259009.524,0.002912418
6273405.714,0.002932398
6282565.714,0.002952378
6280384.762,0.002974356
6289110.476,0.002997666
6306998.095,0.003022974
6321394.286,0.003050946
6360220.952,0.00308025
6391630.476,0.003108888
6430022.857,0.003138192
6463179.048,0.00316683
6503314.286,0.003199464
6535598.095,0.003234762
6569624.762,0.003268062
6618485.714,0.00330336
6657750.476,0.003341988
6701375.238,0.003380616
6750236.19,0.003421908
6814803.81,0.003464532
6865409.524,0.003505824
6919504.762,0.003548448
6974474.286,0.003593736
7024207.619,0.003640356
7080921.905,0.00368631
7139379.048,0.00373293
7198710.476,0.00377955
7260659.048,0.003828834
7315628.571,0.00387945
7369725.714,0.0039294
7429055.238,0.003978684
7474426.667,0.004026636
7521542.857,0.004071924
7563422.857,0.004113216
7597451.429,0.004151178
7633224.762,0.004187142
7641514.286,0.004221108
7657219.048,0.004251078
7665944.762,0.00427905
7663108.571,0.004305024
7669217.143,0.004328334
7667908.571,0.004351644
7648057.143,0.004374954
7624062.857,0.00439893
7609230.476,0.004422906
7604432.381,0.004448214
7604868.571,0.004474188
7602251.429,0.00449883
7602032.381,0.004522806
7600068.571,0.004544784
7601377.143,0.004566762
7599960,0.004586742
7599415.238,0.004606056
7599523.81,0.00462537
7598323.81,0.004648014
7580872.381,0.004673322
7572148.571,0.004699962
7580438.095,0.0047286
7594398.095,0.00475857
7611847.619,0.00478854
7634969.524,0.004819176
7657220.952,0.004849812
7678596.19,0.00488178
7701716.19,0.004912416
7725712.381,0.004943052
7748834.286,0.00497835
7773700.952,0.005017644
7824306.667,0.005058936
7881019.048,0.005102892
7931626.667,0.005146848
7989211.429,0.005189472
8038944.762,0.00523476
8079954.286,0.005282046
8133177.143,0.00533133
8189891.429,0.005379948
8241369.524,0.005428566
8297211.429,0.005477184
8353923.81,0.005527134
8404531.429,0.005577084
8464735.238,0.005626368
8513596.19,0.005675652
8550241.905,0.00572094
8599975.238,0.005761566
8632259.048,0.005800194
8640546.667,0.005836824
8658434.286,0.005870124
8674139.048,0.005901426
8679375.238,0.005931396
8674575.238,0.005958702
8673483.81,0.005984676
8656689.524,0.006008652
8643163.81,0.006031296
8629205.714,0.006054606
8613935.238,0.006079248
8597358.095,0.006104556
8578161.905,0.006129864
8563765.714,0.006155172
8558531.429,0.006179148
8558312.381,0.006201792
8553512.381,0.006223104
8548497.143,0.00624375
8543043.81,0.006264396
8527992.381,0.006285708
8513160,0.00630702
8503125.714,0.006331662
8506179.048,0.006358968
8498544.762,0.006388272
8496144.762,0.006418908
8527556.19,0.006448878
8558095.238,0.006478848
8564201.905,0.006507486
8584706.667,0.006536124
8606954.286,0.00656676
8619605.714,0.00660006
8633567.619,0.006635358
8654072.381,0.006671988
8716019.048,0.006710616
8761390.476,0.006751908
8797163.81,0.006793866
8846897.143,0.006834492
8907100.952,0.006875784
8950727.619,0.006919074
8981264.762,0.006964362
9022274.286,0.007011648
9071135.238,0.007058268
9122613.333,0.007106886
9187180.952,0.007154838
9235167.619,0.007203456
9296243.81,0.007251408
9343360,0.007298694
9379135.238,0.007344648
9418396.19,0.007388604
9462895.238,0.00742923
9473365.714,0.007466526
9490817.143,0.007503156
9500849.524,0.007536456
9510447.619,0.007567092
9518300.952,0.00759573
9511975.238,0.007621038
9512628.571,0.007643682
9498232.381,0.007667658
9475982.857,0.007692966
9449371.429,0.007716942
9424068.571,0.007740252
9405746.667,0.007764228
9394401.905,0.007789536
9380878.095,0.007817508
9372152.381,0.007844148
9365609.524,0.007870122
9368007.619,0.007893432
9365826.667,0.00791541
9361464.762,0.007937388
9350777.143,0.007959366
9352958.095,0.007983342
9345977.143,0.008007984
9342270.476,0.008033292
9340960,0.008061264
9342051.429,0.0080919
9359066.667,0.008122536
9375207.619,0.008153172
9397457.143,0.008182476
9418832.381,0.008212446
9435409.524,0.00824508
9456788.571,0.008281044
9476855.238,0.008319672
9499977.143,0.008359632
9560617.143,0.008399592
9609478.095,0.008440218
9660956.19,0.008480178
9707200,0.008520804
9752571.429,0.008563428
9787472.381,0.008607384
9824990.476,0.008653338
9868615.238,0.008700624
9915731.429,0.008749242
9962847.619,0.00879786
10022179.05,0.008846478
10075403.81,0.008895096
10110304.76,0.008943048
10159165.71,0.008989002
10208899.05,0.009032292
10223731.43,0.009074916
10249470.48,0.009114876
10269975.24,0.009153504
10286988.57,0.009188136
10302259.05,0.009220104
10314474.29,0.009249408
10308365.71,0.009276048
10309019.05,0.009301356
10292224.76,0.009325998
10282190.48,0.009349308
10262996.19,0.009371952
10236382.86,0.009394596
10214569.52,0.00941724
10195811.43,0.00944055
10180104.76,0.009466524
10170506.67,0.009491832
10173342.86,0.009515808
10166798.1,0.009537786
10162000,0.009559098
10158946.67,0.009578412
10153712.38,0.00959706
10138222.86,0.00961704
10123826.67,0.009639684
10109430.48,0.00966366
10103323.81,0.009689634
10107468.57,0.00971694
10104415.24,0.009744912
10107685.71,0.009772218
10127754.29,0.009799524
10152184.76,0.009826164
10167455.24,0.009854136
10175306.67,0.009884106
10183596.19,0.00991341
10197118.1,0.00994338
10216752.38,0.00997668
10240308.57,0.01001331
10288297.14,0.01004994
10328432.38,0.010087902
10369441.9,0.010125198
10412194.29,0.01016316
10423100.95,0.010202454
10476761.9,0.010244412
10513407.62,0.010288368
10548308.57,0.010333654
10598041.9,0.010378944
10652137.14,0.0104229
10696636.19,0.01046619
10744624.76,0.01050948
10792613.33,0.0105561
10823150.48,0.010601388
10870266.67,0.010647342
10905167.62,0.010689966
10941813.33,0.010728592
10973222.86,0.010766556
10982386.67,0.010803186
10988493.33,0.010838484
10998089.52,0.010871118
11020775.24,0.010899756
11026447.62,0.010927728
11020339.05,0.010953036
11020558.1,0.01097568
10999836.19,0.01099899
10974097.14,0.0110223
10946613.33,0.01104561
10923927.62,0.011070252
10902986.67,0.011094228
10880300.95,0.011119534
10855870.48,0.01114551
10835365.71,0.01117215
10821841.9,0.011196126
10806137.14,0.011219436
10785632.38,0.011240746
10735899.05,0.011261394
10657373.33,0.01128204
10492466.67,0.01130868
7249316.19,0.01134198
